0: 188,165,342,428,50,479,85
1015: 
2: 680,566,804,286
3: 279,823,584,653,330,577,60,485,128,140
4: 194,245,587,465,145,577
5: 210,307,366,417,40,134,354,316
6: 647,1039,629,555,963,361
7: 431,369,93,205,54,256,503
8: 553,266,499,83,162,464,337,452
9: 53,160,214,155,451,239,124,58,358,493
10: 59,440,392,251,66,473,303,411,41
11: 33,308,300,17,219,64,193,424,12
12: 424,175,131,477,17,64,300,11
13: 459,68,18,289,360,338,319,38
14: 342,242,415,270,334,492,165
15: 437,45,212,237,161,427,252,75
16: 102,679,457,445,265,57,385,284,349
17: 352,477,64,193,12,175,11
18: 438,419,414,289,390,68,13
19: 296,103,441,301,79,121,472,201
20: 310,228,309,301,79,447,201,156
21: 404,144,484,332,475,373,100
22: 223,436,429,297,338,319,309,38
23: 686,936,697,74,51,236
24: 348,430,120,645,383,356,609
25: 168,346,307,366,305,474,69,81
26: 365,305,304,316,198,366,375,372
27: 458,468,476,191,36,31,467,136
28: 362,693,510,988
29: 467,84,240,458,476,318,989,929,809
30: 51,220,236,621,196,374,73,401,32,468
31: 336,258,93,205,498,36,27,136
32: 498,191,321,310,47,196,374,401,30,468
33: 308,300,340,11,78,219,64,419,123
1040: 
35: 410,199,667,63,280,203,94
36: 498,191,27,468,258,31,205,136
37: 878,841,253,567,581,914
38: 332,221,459,13,77,319,22,297
39: 63,273,409,410
40: 417,134,357,491,5,304,316
41: 166,411,224,433,251,469,10,59,363,490,434,420
42: 96,386
43: 471,370,996,95,793
44: 117,206,202
45: 437,212,15,142,924,186,252,395,75
46: 353,299,281,87,118,898,856,323,389,368
47: 196,201,374,401,310,228,321,32
48: 431,369,241,242,232,85,264
49: 55,111,455,432,424,131,190,290,52
50: 82,428,407,188,0,479,85
51: 220,30,236,621,697,401,23,936,261
52: 190,72,290,339,268,455,276,432,408,406,49
53: 9,160,214,155,166,239,58,182,358
54: 467,136,84,240,205,7,503,680
55: 294,111,177,49,432,190,72,290,478,135,317
56: 295,176,545,950,320
57: 269,292,385,445,16,380,387,349
58: 183,170,182,358,9,53,160,292,493,127
59: 10,440,392,92,184,251,469,411,41
60: 202,485,322,128,3,653,122,92,140,184
61: 472,997,1026,103,201,374,73
62: 560,442,938,83,377,464,113,439
63: 39,285,280,391,273,409,410,35
64: 78,219,193,487,352,17,12,33,300,340,11
65: 235,354,333,174,183,170,134,210
66: 478,402,473,135,303,227,10,214,155
67: 264,267,948,431,257,226,1023
68: 459,13,77,438,18,419,108,390
69: 474,341,71,354,307,366,168,25
1041: 
71: 474,69,341,354,333,307,150,216
72: 190,227,290,98,52,339,432,408,55,440,478
73: 196,201,374,61,1026,607,30,621
74: 837,520,697,236,686,23
