0: 188,165,85,342,428,50,479
1: 272,350,482
2: 286,566,43,680,503,600,803
3: 279,330,577,60,485,128,140
4: 841,833,499,878,145,245,553
5: 210,307,366,134,40,357,316,305
6: 361,884,689,514,740,601,454
7: 413,93,54,84,256,503
8: 499,266,464,104,83,162,337,452,287
9: 53,358,214,66,155,282,239,124,493
10: 303,440,392,59,218,251,473,411
11: 424,12,193,17,64,33,308,300
12: 424,49,11,131,17,175,300
13: 459,68,18,419,414,289,360,319,364
14: 334,85,435,241,342,270,100,345,492,165
15: 437,45,427,212,161,237,252,75
16: 445,151,269,385,57,102,457,380,349
17: 352,193,175,314,477,64,12,11,131
18: 438,419,414,247,289,390,68,13
19: 296,103,79,327,441,121,61,301
20: 310,228,301,79,447,309,156
21: 404,144,484,475,373,100,157,213
22: 436,429,360,338,319,309,297,38
23: 837,51,220,261
24: 348,430,731,772,483,211
25: 474,69,307,366,305,168,346,81
26: 316,305,304,198,173,365,375,346,422,372
27: 458,476,468,846,32,191,36,467,136
28: 362,988,132,418,400
29: 240,989,476,846,318,467,84
30: 51,220,401,374,236,607,196,201,32
31: 336,36,258,54,136,205,369,93
32: 47,196,30,401,191,321,27,468
33: 308,300,340,78,219,64,11
34: 38,221,77
35: 70,410,199,409,39,63,280,203,94
36: 31,258,498,191,27,125,136,205
37: 914,104,253,62,377,464
38: 332,297,34,221,459,77,319,22
39: 63,409,410,35
40: 417,491,493,167,357,210,5,134,316,304
41: 166,453,224,433,411,251,59,363,469,420
42: 645,858,96
43: 2,286,379,95,724
44: 117,206,268,202
45: 437,15,212,142,355,186,252,395,148
46: 353,238,281,898,840,323,368
47: 196,201,32,310,228,426,321
48: 431,369,336,334,242,241,232
49: 424,12,131,432,290,55,111,177
50: 82,428,407,0,85,255,207,479,403,449
51: 220,30,401,607,23
52: 455,432,276,339,406,190,72,290
53: 9,358,214,160,166,182,58,127
54: 467,84,136,205,31,7,93
55: 294,111,177,432,49,190,290,135,317,189,402
56: 320,176,545,621,295
57: 269,385,292,16,380,387,349
58: 183,170,127,53,358,160,292,182,417,493
59: 10,303,392,251,363,469,41,411
60: 202,485,322,117,3,330,128,140,184
61: 472,73,374,441,19,103,79,228,196,201
62: 253,377,560,37,875,442,464,326,83,439
63: 39,285,280,273,409,391,81,410,35
64: 78,219,487,193,17,11,33
65: 235,354,333,292,183,170,174,210,134
66: 478,155,473,303,402,166,411,9,214
67: 264,257,948,312,267,226
68: 459,13,77,308,18,419,390,108
69: 474,341,25,307,366,71,216
70: 410,35,199,203,94,288,405
71: 237,216,150,354,333,307,69,341
72: 190,290,52,276,408,406,227
73: 472,61,374,103,236,621,607,201
74: 686,236,295
75: 273,195,510,427,15,161,237,252
76: 92,251,122,324,397,248,363,490,469
77: 459,68,390,91,108,319,217,34,38,221
78: 219,64,487,1007,389,193,494,315,33
79: 19,103,61,228,20,301,201
80: 234,384,272,158,350,328,398,274,149
81: 497,141,203,474,25,168,158,63,285,280
82: 428,50,407,255,396,207,403,378,325
83: 326,162,439,62,377,442,8,464
84: 54,467,205,240,29,7
85: 242,14,241,342,0,50,207,204,479,232
86: 139,787,875,302,314,109,171,477,113,352,444
87: 343,655,293,856,238,281
88: 121,230,359,133,367,327,414,296
89: 278,157,110,144,244,167,173,399
1022: 960,585,565,973,732,563
91: 107,263,108,77,217,461,221
92: 140,184,251,76,128,122,392,324,469
93: 7,413,31,54,205,431,369,256
94: 115,288,203,398,70,35,149
95: 379,948,312,43,267,370,724
96: 858,772,172,1023,471,42
97: 116,142,102,457,349,284,496,437
98: 190,135,227,478,473
99: 153,200,451,417,491,493,167,399,357
100: 373,415,270,21,484,492,213,188,165,14
101: 298,477,113,175,455,254,131
102: 457,16,387,349,284,97
103: 296,19,79,327,441,472,73,61,301,201
104: 37,914,377,8,266,464,878
105: 359,368,133,840,494,394,247,323
106: 324,154,248,625,185,122,423,448
107: 263,390,91,108,123,294,177
108: 107,263,390,91,123,459,68,77,221
109: 314,313,171,425,181,277,302,139,86
110: 278,157,89,173,198,375,246
111: 294,55,177,432,424,49,290
112: 660,470,617,519,767
113: 298,477,101,86,787,442,439,352,444
114: 145,653,553,452,117,330,485
115: 94,288,398,470,149,381,660
116: 142,355,97,347,496,437
117: 337,44,452,206,114,268,330,60,202,485
118: 898,840,208,129,368,329
119: 767,617,568,864
120: 450,146,331,482,348,430,443
121: 289,230,88,296,19,447,364,301
122: 128,423,92,140,76,106,324
123: 107,390,108,424,308,300,177
124: 451,282,239,155,215,344,402,9,214
125: 489,163,345,426,209,498,336,36,258
126: 495,243,277,179,313,238
127: 58,183,170,53,358,417,493,134
128: 122,423,3,279,60,918,92,140,324
129: 359,368,840,118,208,367,329
130: 662,728,702,740,689
131: 424,12,49,101,17,175,455,432
132: 252,395,250,418,28
133: 359,368,105,247,367,438,414,230,88
134: 210,5,307,183,127,417,491,40,65,316
135: 190,98,290,55,478,473,317,402
136: 54,467,205,27,476,36,31
137: 381,288,405,959
138: 462,231,537,178,681,465,653,577
139: 86,787,875,442,533,302,109,171
140: 92,184,251,3,279,60,485,322,128,122
141: 81,497,168,158
142: 116,355,97,437,45,186,393
143: 457,265,445
144: 21,404,244,456,484,475,157,89
145: 114,653,245,553,4,452,330
146: 120,450,234,348,488,768,568,443
147: 979,855,154,152,770,192
148: 395,45,186
149: 274,470,768,398,80,115,94,660
150: 237,71,216,174,354,333,161
151: 16,445,420,192,363,434,385
152: 154,248,490,434,979,147,192
153: 200,421,99,215,446,451,282,239
154: 106,248,152,625,855,147
155: 66,478,344,402,9,214,124
156: 311,426,209,309,310,228,20,223,436
157: 278,89,110,21,144,244,484,173,213
158: 168,346,271,81,328,497,141,384,80
159: 486,218,408,406,206,268,202,322
160: 53,214,166,453,224,433,182,58
161: 427,15,212,387,174,333,237,216,150,75
162: 326,83,377,8,266,464,337,339,164,287,254
163: 489,345,492,125,223,209,415,270,334
164: 339,287,326,162,254,276
165: 213,188,0,484,270,100,278,14,342
166: 453,224,433,41,411,303,66,53,214,160
167: 173,399,357,200,99,491,40,493,89,304
168: 346,158,474,25,271,81,497,141
1031: 233,507,1008,848,537
170: 58,183,127,292,182,65,235
171: 314,109,313,302,139,86,352,444
172: 388,267,1023,356,187,731,96,772
173: 167,399,357,244,491,157,89,110,316,26,304,198
174: 380,387,65,235,354,333,212,161,150
175: 352,17,477,101,455,12,131
176: 56,320,351
177: 294,55,111,424,49,300,107,263,123
178: 231,138,537,848,681,465,233
179: 753,655,495,126,238
180: 819,628,671,347,355,393
181: 425,259,302,845,197,335,533,109
182: 269,292,453,53,160,58,170
183: 58,170,127,417,65,210,134
184: 92,140,251,60,322,218,392
185: 552,823,918,423,448,106,625
186: 250,393,416,142,355,45,252,395,148
187: 383,449,356,260,388,226,172
188: 213,165,0,100,278,255,246,428
189: 317,215,344,402,294,55,263,461
190: 72,98,290,135,52,227,55,478,473
191: 498,321,32,426,27,468,36
192: 445,151,152,434,979,147,265
193: 352,17,314,78,64,487,11
194: 517,833,465,245
195: 273,75,510,391,237,216,341
196: 47,201,32,61,374,607,228,30,401
197: 845,335,547,259,181
198: 26,304,173,110,365,375
199: 70,410,35,853,405
200: 153,421,99,451,244,456,167,399
201: 47,196,103,79,73,61,374,310,228,30
202: 60,485,322,44,117,206,268,218,159
203: 81,328,497,398,280,70,35,94
204: 207,479,260,85,242,232,257,449
205: 54,467,84,136,476,36,31,369,93
206: 337,44,452,117,339,268,287,202,159
207: 204,479,260,85,82,50,407,378,449
208: 222,118,291,129,329,249
