0: 188,165,342,85,428,50,479
1015: 
2: 680,286,600,566
3: 60,485,117,918,279,128,140
4: 587,194,834,553,145,577,245
5: 210,307,366,40,134,354,316
6: 361,963,454,708
7: 431,369,241,256,31,93,54,205,503
8: 104,266,553,162,464,337,452,499,287
9: 53,358,214,66,155,451,124,239,493
10: 303,440,392,59,227,251,66,473,411,41
11: 424,12,17,64,193,33,308,300
12: 424,49,131,11,17,175,300
13: 459,68,18,289,364,360,319
14: 342,242,415,270,334,345,492,165
15: 437,45,427,212,237,161,252,395,75
16: 102,457,679,445,151,57,385,284,349
17: 352,477,175,314,64,193,12,11
18: 438,419,414,289,390,68,13
19: 296,103,441,301,121,79
20: 79,228,309,310,301,447,338,201,156
21: 404,144,484,475,373,100
22: 436,429,297,338,319,309,38
23: 306,236,74,686,51,220,621,261,936
24: 348,430,356,383,120
25: 168,346,366,305,474,69,81
26: 365,305,304,316,198,173,366,375,372
27: 458,468,476,191,36,467,136
28: 362,747,693,132,510
29: 240,989,458,846,476,318,467
30: 51,220,401,621,73,607,196,374,32,468
31: 336,258,93,498,36,205,136,7
32: 498,191,321,47,196,30,401,468
33: 308,300,340,78,219,64,11,419
34: 38,221,459,77
35: 63,285,280,497,203,409,70,410,199,94
36: 498,191,321,27,258,31,205,136
37: 878,581,916,253
38: 332,34,221,459,77,319,22,297
39: 63,409,410
40: 417,134,357,491,5,304,316
41: 166,411,224,433,251,10,59,363,490,469
42: 386,96
43: 471,370,95,172,996,793,535
44: 117,206,202
45: 437,15,212,142,924,186,252,395,75
46: 118,898,87,712,353,323,281,368
47: 196,201,374,228,310,401,321,32
48: 431,369,241,334,85,242,232,264
49: 424,12,131,455,432,290,55,111
50: 82,428,407,188,0,85,207,479
51: 220,30,401,621,23,236,74,261,936
52: 276,432,339,268,408,406,72,290
53: 9,358,214,160,155,166,239,182,58
54: 467,205,136,240,7,84,503
55: 294,111,177,432,49,190,290,135,317
56: 320,295,950,545,176
57: 269,292,385,445,16,380,387,349
58: 183,170,53,358,160,292,182,493,127
59: 10,303,440,392,184,251,469,411,41
60: 202,485,322,3,218,128,140,184
61: 472,73,997,1026,103,79,201,374
62: 560,938,442,326,83,439,377,113
63: 285,280,391,39,35,273,409,410
64: 78,219,193,17,11,33,340
65: 235,354,333,174,183,170,134,210
