0: 188,165,342,85,428,50,479
1015: 
2: 680,286,600
3: 60,485,322,918,653,128,122,140,184
4: 587,194,834,553,145,577,245
5: 210,307,366,40,134,354,316,69
6: 740,963,514,454,361
7: 369,241,256,31,93,54,205,503
8: 499,266,553,104,83,162,464,337,452,287
9: 53,358,214,66,155,124,239,493
10: 303,440,392,59,227,251,66,473,411,41
11: 424,12,17,193,64,33,308,300
12: 424,11,131,49,17,175,300
13: 459,68,18,289,364,360,319
14: 342,242,415,270,100,345,492,334,165
15: 437,45,427,212,75,284,237,161,252
16: 102,457,679,445,151,57,385,380,387,284,349
17: 352,477,175,314,193,64,12,11
18: 438,419,414,340,289,459,68,13
19: 296,103,441,301,121,79
20: 79,228,309,310,301,447,338,201,156
21: 404,144,484,475,373,100,244
22: 436,429,338,319,309,38,297
23: 306,236,74,686,51,220,261,936
24: 348,430,356,383
25: 168,346,366,305,474,69,81
26: 365,305,304,316,198,173,366,375,372
27: 458,468,476,220,191,32,36,467,136
28: 362,747,132,510,693
29: 989,458,846,476,318,467,240
30: 51,220,401,607,621,196,236,468
31: 336,258,93,498,36,205,136,7
32: 498,191,321,47,196,401,27,468
33: 308,300,78,219,64,11,419,340
34: 38,221,459,77
35: 70,410,199,39,63,285,280,203,409,94
36: 498,191,321,27,258,31,205,136
37: 253,878,916,744,104
38: 332,297,221,34,459,77,319,22
39: 410,35,63,409
40: 417,491,134,357,210,5,304,316
41: 166,411,224,433,251,10,59,363,490,469
42: 386
43: 471,370,95,996,172,793
44: 117,206,202
45: 437,15,75,142,355,97,186,252,395
46: 118,898,87,353,281,323,368
47: 196,201,374,228,310,401,426,321,32
48: 431,369,241,256,334,85,242,232,264
49: 424,12,131,455,432,290,55,111
50: 82,428,407,188,0,85,207,479
51: 220,30,401,621,23,236,261
52: 276,432,339,268,408,406,72,290
53: 9,358,214,160,166,239,58,182
54: 467,205,136,240,7,84,503
55: 294,111,177,432,49,190,290,135,317
56: 320,295,176,950
57: 269,292,385,445,16,380,387,349,235
58: 183,170,182,53,358,160,493,292,127
59: 10,303,440,392,184,251,469,411,41
60: 202,485,322,3,218,128,92,140,184
61: 472,73,997,103,201,374
62: 560,377,938,442,326,83,439,113
63: 285,280,391,273,409,410,35,39
64: 78,219,487,17,193,11,33
65: 235,354,333,174,183,170,134,210
66: 478,402,155,473,10,303,9,214
67: 264,267,257,431,226
68: 459,13,77,308,18,419,108,390
69: 474,341,71,354,5,307,366,25
70: 410,35,199,203,94,288,667
71: 474,69,341,354,333,307,150,216,391
72: 190,227,290,52,432,408,406,440
73: 472,61,997,1026,950,621,196,201,374,607
74: 306,23,236,686,837,814,520
75: 45,427,15,237,161,252,195,510
76: 363,490,469,152,122,324,92,251,248,1036
77: 459,68,108,390,91,217,38,221,34
78: 219,64,487,1007,243,193,315,33
79: 228,20,19,103,301,447,201
80: 234,384,272,274,350,328,617
81: 285,280,474,341,168,25,158,497,141
82: 428,50,407,246,255,396,403,378
83: 326,162,439,464,560,62,377,8,104,298
84: 503,54,467,240
85: 342,242,0,48,50,204,479,232
86: 139,171,875,787,352,477,314
87: 118,898,46,712,281
88: 359,133,367,121,230,296
89: 157,110,244,173,399
1022: 
91: 107,108,263,77,446,217,461
92: 140,184,251,60,128,122,324,490,469,76
93: 336,258,31,205,369,241,7,256
94: 115,149,288,203,398,274,70,35
95: 370,43,996,267,312,803
96: 609,645
97: 116,142,355,102,262,457,284,496,437,45
98: 190,227,478
99: 153,200,451,239,493,491,167
100: 373,415,270,21,484,213,188,165,14
101: 298,787,477,175,455,276,254,131
102: 262,457,16,445,387,284,349,97,437
103: 296,19,441,472,61,79,201
104: 8,266,841,37,253,878,560,377,83,464
105: 129,359,368,133,247,394,323
