0: 188,165,342,85,428,50,479
1015: 
2: 803,286,680,984
3: 279,330,918,653,60,485,128,122,140,184
4: 587,841,553,194,145,114,245
5: 210,307,366,40,134,354,316
6: 728,740,514,953,361
7: 413,503,54,205,431,369,93,256
8: 499,266,464,553,83,162,337,452,287
9: 53,358,214,160,66,155,239,124,493
10: 303,440,392,59,473,218,227,251,411
11: 424,12,17,64,33,308,300
12: 424,49,11,17,175,64,131,300
13: 459,68,18,419,289,360,338,319
14: 342,435,242,270,100,492,334,165
15: 437,45,427,212,284,237,161,252,75
16: 102,457,445,151,385,57,349
17: 352,193,175,477,64,131,12,11
18: 438,419,340,390,289,230,414,459,68,13,360
19: 296,103,79,441,121,364,301
20: 310,228,301,79,447,309,156
21: 404,144,484,475,429,373,100
22: 223,436,429,338,319,309,297,475,38
23: 306,51,220,458,261
24: 348,430,772,356,383,731
25: 168,346,366,305,474,69
26: 365,305,304,198,316,173,375,422
27: 458,476,220,401,191,468,36,136
28: 362,418,988,853,252,132
29: 240,989,458,476,846,318,261,467
30: 51,220,401,607,236,196,374,32
31: 336,258,36,345,136,205,93
32: 498,191,321,468,47,196,30,401
33: 308,300,78,219,64,11,340,123
34: 221,38,77
35: 70,410,199,39,409,63,280,203,94
36: 258,31,498,191,468,27,136,205
37: 914,104,744,921,253,377,560
38: 332,297,34,221,459,77,319,22
39: 410,35,409,63
40: 417,491,134,357,210,5,304,316
41: 166,224,433,411,251,59,363,469
42: 386,645
43: 724,996,803,370,95,793
44: 117,206,202
45: 437,15,142,355,186,148,252,395
46: 353,323,238,281,840,368
47: 196,201,374,310,228,321,32
48: 431,369,241,334,85,242,232,264
49: 424,12,455,131,432,290,55,111
50: 82,428,407,188,0,85,207,479,403
51: 220,30,401,607,236,837,23
52: 455,432,276,339,408,406,190,72,290
53: 9,358,214,160,239,182,58,127
54: 467,84,205,93,7,503
55: 294,111,432,49,190,290,135,317
56: 545,295,176,814,320
57: 269,182,292,385,16,380,387,349,235
58: 183,170,127,53,358,160,182,292,493
59: 10,303,392,92,184,251,469,41,411
60: 202,485,322,3,330,128,140,184
61: 472,73,997,103,79,201,374,607
62: 253,377,560,442,875,464,326,83,439
63: 81,285,280,391,273,409,203,410,35,39
64: 78,219,487,193,17,12,11,33,300
65: 235,354,333,183,170,134,210
66: 478,402,155,303,473,166,9,214
67: 264,267,257,948,431,312,226
68: 459,13,77,390,18,419,108
69: 474,341,354,307,366,71,25
70: 410,35,199,203,115,94,288,405
71: 150,216,354,333,210,307,69,341,391
72: 190,227,290,52,408,406,440
73: 472,61,997,1026,236,621,201,374,607
74: 686,295,814,236,837
75: 510,195,427,15,237,252
76: 363,490,469,122,324,92,251,248,855
77: 459,68,390,91,108,217,34,221,38
78: 219,64,487,1007,193,389,315,33
79: 19,103,472,61,228,20,301,201
80: 234,384,272,274,350,328,398
81: 63,285,280,474,341,168,158,497,141,203
82: 428,50,407,246,255,396,403
83: 326,162,439,62,377,442,8,464
84: 54,467,240,503
85: 342,242,232,0,48,50,204,479
86: 139,787,314,171,113,477,352,444
87: 712,655,293,281,840
88: 121,230,414,359,133,367,327,296
89: 278,157,110,144,244,173,399,198
1022: 565
91: 107,263,108,77,217,461,221
92: 140,184,251,122,324,392,59,469,76
93: 431,369,256,336,31,54,205,7,503
94: 115,288,398,203,70,35,149
95: 370,267,379,312,43
96: 609,645,172,471,793,858
97: 116,142,102,457,262,496,437,284
98: 190,227,135,473,478
99: 153,200,421,451,491,493,167,399,357
100: 373,415,270,21,484,157,213,165,14
101: 298,113,477,254,175,455,131
102: 457,16,262,445,387,349,97,284
103: 296,19,79,441,472,61,997,201
104: 37,914,253,377,266,464,878
105: 359,368,133,323,494,394,247
106: 128,423,462,918,185,823,625
107: 263,123,91,108,300,390,294,177
108: 107,123,91,308,390,459,68,77
109: 314,313,171,425,277,302,139
110: 278,157,89,173,198,246,375
111: 294,55,177,424,49,300
112: 519,660,470,767
113: 298,101,477,86,787,442,439,444
114: 145,653,577,4,553,499,452,117
115: 94,288,398,70,470,149,381
116: 142,355,97,262,671,347,496,437,819,186
117: 337,44,452,206,114,653,330,202,485,159
118: 840,856,208,769,129,368
119: 864,568,767
120: 450,146,331,482,412,348,430,443,687
121: 289,230,88,364,367,296,19,301
122: 128,423,324,3,92,140,184,855,76
123: 107,108,33,308,300,390,177
124: 451,282,239,402,155,344,9
125: 426,209,498,489,163,345,492,258
126: 495,243,277,179,753,313,238
127: 58,183,170,53,358,417,134,493
128: 122,423,106,3,279,330,918,60,140
129: 359,368,118,208,367,327,329
130: 662,702,689,740
131: 455,432,101,17,175,424,12,49
132: 252,395,250,362,28,418
133: 359,105,247,367,438,230,88,414
