0: 188,165,342,85,428,50,479
1015: 
2: 680,286,600,804
3: 279,128,330,577,117,60,485,653,823
4: 587,194,245,834,465,577,145
5: 210,307,366,417,40,134,354,316
6: 647,963,454,361
7: 431,369,31,93,54,205,503,256
8: 553,266,104,83,162,464,337,452,499,287
9: 53,160,214,155,451,239,124,358
10: 59,440,392,251,66,473,411,41,303
11: 424,12,17,64,33,300
12: 424,131,11,175,477,17,64,300
13: 459,68,18,289,364,360,338,319
14: 342,242,270,334,492,165
15: 437,45,212,237,161,427,252,75
16: 102,457,679,445,265,57,385,284,349
17: 352,477,64,193,12,11,175,33
18: 438,419,414,289,68,13
19: 296,103,441,301,79,121,472,201
20: 310,228,309,301,79,447,338,201,156
21: 404,144,475,373,100,484
22: 223,436,429,297,338,319,309,38
23: 686,936,520,74,51,621,236
24: 348,430,120,645,383,356,858
25: 168,346,366,305,474,69,81
26: 365,305,304,316,198,40,366,375
27: 458,468,476,498,191,36,31,467,136
28: 362,693,132,510,988
29: 54,467,458,846,476,318,929,989,240,809,84
30: 51,220,401,621,236,607,196,374,73,32
31: 336,258,93,36,27,205,136,7
32: 498,191,321,310,47,196,374,30,401,468
33: 308,300,340,17,78,219,64,11,123
1040: 572
35: 63,280,203,70,410,199,94
36: 498,191,125,27,468,258,31,205,136
37: 878,841,253,581,567,914,833
38: 332,221,459,77,319,22,297
39: 63,409,410
40: 417,134,491,357,5,26,304,316
41: 166,411,224,433,251,10,59,363,490,469,420
42: 386,96
43: 471,370,996,95,172,793
44: 117,206,202
45: 437,212,15,142,186,252,395,75
46: 353,299,281,118,898,87,323,389,368
47: 196,201,374,310,228,401,321,32
48: 431,369,241,85,242,232,264
49: 424,131,455,432,290,55,111
50: 82,428,407,188,0,255,479
51: 220,30,401,621,236,697,74,23,936,261
52: 72,290,339,268,276,432,408,406
53: 9,160,214,155,166,239,58,182,358
54: 467,205,136,29,240,7,84,503
55: 294,111,177,432,49,190,72,290,478,135,317
56: 320,295,176,545,950
57: 269,292,385,445,182,16,380,387,349
58: 183,170,182,53,160,292,493,127,358
59: 10,440,392,92,184,251,469,411,41,303
60: 202,485,322,653,3,128,140,184
61: 472,997,103,79,1026,201,374,73
62: 560,938,442,326,83,377,464,298,113,439
63: 35,285,280,391,39,273,409,410
64: 78,219,193,352,17,12,11,33,300,340
65: 235,354,333,174,183,170,134,210
66: 478,402,473,155,227,10,214,303
67: 264,257,948,267,226,1023
68: 459,13,77,308,438,18,419,108,390
69: 474,341,71,354,307,366,168,25
70: 410,199,35,203,94,288,667
71: 474,69,341,354,333,307,150,216
72: 190,227,290,98,52,432,408,55,478
73: 196,374,997,61,607,1026,30,621
74: 837,520,697,51,621,236,686,23
75: 195,45,15,237,216,252,510
76: 490,469,152,248,324,122,92,140,251,855
