0: 188,165,342,85,428,50,479
1: 272,350,482
2: 286,680,600,803,566
3: 279,330,577,60,485,128,140
4: 833,841,499,878,145,245,553
5: 210,307,366,134,40,357,316,305
6: 361,601,689,884,514,740,454
7: 413,503,54,84,256,93,680
8: 499,266,464,104,83,162,337,452,287
9: 53,358,214,66,155,282,239,124,493
10: 303,440,392,59,218,251,473,411
11: 424,12,193,17,64,33,308,300
12: 424,49,11,17,175,131,300
13: 459,68,319,18,419,414,289,364,360
14: 342,85,435,241,270,100,345,492,334,165
15: 437,45,427,212,161,237,252,75
16: 445,151,269,385,57,102,457,380,349
17: 352,193,175,477,64,131,12,11
18: 438,419,414,247,289,230,68,13
19: 296,103,79,327,441,121,301
20: 310,228,301,79,447,309,156
21: 404,144,484,475,373,100,157
22: 436,429,319,360,338,309,297,38
23: 837,51,220,458,261
24: 348,430,731,356,772,483,211
25: 474,69,307,366,305,168,346,81
26: 316,305,304,198,173,365,375,346,422,372
27: 458,476,468,191,32,36,467,136
28: 362,988,132,418,400
29: 240,989,476,846,318,467,84
30: 51,220,401,374,236,607,196,32
31: 336,36,258,136,205,369,93
32: 191,321,47,196,30,401,27,468
33: 308,300,340,78,219,64,11
34: 38,221,77
35: 70,410,199,409,39,63,280,203,94
36: 31,258,498,191,27,125,136,205
37: 914,104,253,62,377,464
38: 332,297,34,221,459,77,319,22
39: 63,409,410,35
40: 417,491,167,357,210,5,134,316,304
41: 166,453,224,433,411,251,59,363,469,420
42: 645,858,96
43: 286,379,95,724
44: 117,206,268,202,159
45: 437,15,212,142,355,186,252,395,148
46: 353,238,281,898,840,323,368
47: 196,201,310,228,426,321,32
48: 431,369,334,336,242,241,232
49: 424,12,455,432,131,290,55,111,177
50: 82,428,407,0,85,207,479,403
51: 220,30,401,607,837,23
52: 455,432,276,339,406,190,72,290
53: 9,358,214,160,166,182,58,127
54: 467,84,136,205,93,7
55: 294,111,177,432,49,190,290,135,402,317,189
56: 320,176,295,545,621
57: 269,385,292,16,380,387,349
58: 183,170,453,53,358,160,292,182,417,493,127
59: 10,303,392,251,363,469,41,411
60: 202,485,322,117,3,330,128,140,184
61: 472,73,374,103,79,228,196,201
62: 253,377,560,37,875,442,464,326,83,439
63: 39,285,280,273,409,391,81,410,35
64: 78,219,487,193,17,11,33
65: 235,354,333,292,183,170,174,210,134
66: 478,155,473,402,303,166,411,9,214
67: 264,257,948,312,388,267,226
68: 459,13,77,308,18,419,390,108
69: 474,341,25,354,307,366,71,216
70: 410,35,199,203,94,288,405
71: 216,150,354,333,307,69,341
72: 190,290,227,52,408,406,440
73: 472,61,374,997,103,236,607,621,201
74: 686,295
75: 273,195,510,427,15,161,237,252
76: 92,251,122,324,397,248,363,490,469
77: 459,68,319,390,91,108,217,34,38,221
78: 219,64,487,1007,389,193,494,315,33
79: 19,103,61,228,20,301,201
80: 234,384,272,158,350,328,398,274
81: 497,141,203,474,25,168,158,63,285,280
82: 428,50,407,255,396,403,378,325
83: 326,162,439,62,377,442,8,464
84: 54,467,205,240,29,7,680
85: 342,242,14,0,50,207,204,479,232
86: 139,787,875,302,109,171,477,113,352,444
87: 343,655,712,856,238,281,898
88: 121,230,359,133,367,327,414,296
89: 278,157,110,144,244,173,399,198
1022: 960,585,565,732
91: 107,263,108,77,217,461,221
92: 140,184,251,76,128,122,392,324,469
93: 431,369,256,31,54,205,7,413
94: 115,288,203,398,70,35,149
95: 379,948,312,43,267,370,724
96: 858,772,172,1023,471,42
97: 116,142,102,457,284,496,437
98: 190,135,227,478,473
99: 451,153,200,491,493,167,399,357
100: 373,415,270,21,484,213,188,165,14
101: 298,477,113,175,455,254,276,131
102: 457,16,387,349,284,97
103: 296,19,79,327,441,472,73,61,301,201
104: 37,914,377,8,266,464,878
105: 359,368,133,494,394,247,323
106: 324,154,248,625,185,122,423,918,448
107: 263,390,91,108,123,294,177,461
108: 107,263,390,91,123,459,68,77
109: 314,313,171,425,277,302,139,86
110: 278,157,89,173,198,375,246
